Title,Location,Price,Area,Rooms
                        Apartment Zocherstraat 12 4                            ,            1054 LX Amsterdam (Overtoomse Sluis)        ,"                €2,295 per month            ",90 m²,4 rooms
                        Apartment Céramiquelaan                            ,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,350 per month            ",70 m²,3 rooms
                        Apartment Rosmarijnsteeg                            ,            1012 RP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,100 per month            ",50 m²,2 rooms
                        Apartment Stadionweg 37 III                            ,            1077 RW Amsterdam (Apollobuurt)        ,"                €6,250 per month            ",232 m²,6 rooms
                        Apartment Boutenburg 231                            ,            1068 ZE Amsterdam (Osdorp-Oost)        ,"                €2,500 per month            ",65 m²,3 rooms
                        Apartment Overtoom 216 IV                            ,            1054 HZ Amsterdam (Helmersbuurt)        ,"                €1,950 per month            ",65 m²,2 rooms
                        Apartment Rijnstraat                            ,            1078 PW Amsterdam (IJselbuurt)        ,"                €2,650 per month            ",72 m²,3 rooms
                        Room Langswater                            ,            1069 EC Amsterdam (De Punt)        ,                €700 per month            ,15 m²,1 room
                        Apartment Egelantiersgracht 83 3                            ,            1015 RE Amsterdam (Jordaan)        ,"                €2,850 per month            ",90 m²,3 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Rietlandpark                            ,            1019 DS Amsterdam (Oostelijk Havengebied)        ,"                €2,000 per month            ",80 m²,3 rooms
                        Apartment Bellamystraat                            ,            1053 BG Amsterdam (Kinkerbuurt)        ,"                €3,950 per month            ",100 m²,4 rooms
                        Apartment Derde Hugo de Grootstraat                            ,            1052 LK Amsterdam (Frederik Hendrikbuurt)        ,"                €1,850 per month            ",51 m²,2 rooms
                        Apartment Kastanjeweg 2 HS                            ,            1092 CE Amsterdam (Oosterparkbuurt)        ,"                €3,250 per month            ",130 m²,4 rooms
                        Apartment Eerste Helmersstraat 238 4                            ,            1054 ER Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",50 m²,2 rooms
                        Apartment Rubensstraat                            ,            1077 MV Amsterdam (Apollobuurt)        ,"                €3,750 per month            ",127 m²,5 rooms
                        Apartment Ferguutstraat                            ,            1055 SV Amsterdam (Erasmuspark)        ,"                €1,650 per month            ",53 m²,3 rooms
                        Apartment Singel                            ,            1017 AX Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",52 m²,2 rooms
                        Apartment IJburglaan 883                            ,            1087 EN Amsterdam (IJburg West)        ,"                €2,500 per month            ",123 m²,4 rooms
                        Apartment Van Reigersbergenstraat 522                            ,            1052 WG Amsterdam (Frederik Hendrikbuurt)        ,"                €2,000 per month            ",80 m²,3 rooms
                        Apartment Burmanstraat                            ,            1091 SK Amsterdam (Weesperzijde)        ,"                €1,795 per month            ",50 m²,2 rooms
                        Apartment Hemonystraat 1 II                            ,            1074 BK Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",110 m²,4 rooms
                        Apartment Gerard Doustraat                            ,            1073 XB Amsterdam (Oude Pijp)        ,"                €1,850 per month            ",46 m²,2 rooms
                        Apartment Slotermeerlaan                            ,            1064 GZ Amsterdam (Slotermeer-Zuidwest)        ,"                €1,700 per month            ",75 m²,2 rooms
                        Apartment Willem Parelstraat 268                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,995 per month            ",45 m²,2 rooms
                        Apartment Singel 103 3                            ,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,500 per month            ",110 m²,3 rooms
                        Apartment Juliana van Stolbergstraat                            ,            1055 RM Amsterdam (Landlust)        ,"                €3,750 per month            ",52 m²,3 rooms
                        Apartment Prins Hendriklaan 38 D                            ,            1075 BD Amsterdam (Willemspark)        ,"                €2,350 per month            ",100 m²,3 rooms
                        Apartment Bilderdijkstraat                            ,            1052 NA Amsterdam (Da Costabuurt)        ,"                €2,250 per month            ",80 m²,3 rooms
                        Apartment Bestevâerstraat                            ,            1055 TM Amsterdam (Landlust)        ,"                €1,650 per month            ",60 m²,3 rooms
                        Apartment Amstelkade                            ,            1078 BA Amsterdam (Scheldebuurt)        ,"                €2,700 per month            ",104 m²,4 rooms
                        Apartment George Sandstraat 2                            ,"            1102 AG Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,750 per month            ",54 m²,2 rooms
                        Apartment Herengracht 369                            ,            1016 BB Amsterdam (Grachtengordel-West)        ,"                €3,750 per month            ",133 m²,6 rooms
                        Apartment Herengracht                            ,            1016 BP Amsterdam (Grachtengordel-West)        ,"                €3,950 per month            ",169 m²,4 rooms
                        Apartment Tommaso Albinonistraat 164 2 pp                            ,            1083 HM Amsterdam (Zuidas)        ,"                €7,750 per month            ",177 m²,3 rooms
                        Studio Schaarsbergenstraat 39                            ,            1107 JS Amsterdam (Holendrecht/Reigersbos)        ,"                €1,200 per month            ",34 m²,1 room
                        Apartment Ridderspoorweg 157                            ,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,400 per month            ",72 m²,1 room
                        Apartment Scheldestraat                            ,            1078 GE Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",89 m²,4 rooms
                        Apartment Gaaspstraat 25 1                            ,            1079 VB Amsterdam (Rijnbuurt)        ,"                €2,000 per month            ",51 m²,3 rooms
                        Apartment Reguliersdwarsstraat 2 III                            ,            1017 BM Amsterdam (Grachtengordel-Zuid)        ,"                €1,800 per month            ",55 m²,2 rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Zeelandstraat 60 1                            ,            1082 BZ Amsterdam (Buitenveldert-West)        ,"                €2,400 per month            ",110 m²,6 rooms
                        Apartment Entrepothof 100                            ,            1019 DL Amsterdam (Oostelijk Havengebied)        ,"                €1,850 per month            ",80 m²,3 rooms
                        Apartment Onsenoort                            ,            1083 BW Amsterdam (Buitenveldert-Oost)        ,"                €1,750 per month            ",80 m²,3 rooms
                        Apartment Johannes Verhulststraat                            ,            1075 HB Amsterdam (Willemspark)        ,"                €5,850 per month            ",245 m²,9 rooms
                        Apartment Rapenburgerstraat                            ,            1011 VM Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,250 per month            ",125 m²,4 rooms
